"Categoría","Dominio","CANTV","Digitel","Movistar","Inter","Supercable"
"","aguacateverde.com","DNS  block","DNS block","DNS ","Accesible","Accesible"
"","","","","block"
"","aguacateverde1.blogspot.com","DNS  block","DNS block","DNS ","Accesible","DNS "
"Mercado cambiario","","","","block","","block"
"","dolar-paralelo.net","DNS  block","DNS block","DNS ","DNS block","DNS "
"","","","","block","","block"
"","dolar-permuta.com","DNS  block","DNS block","DNS","Accesible","DNS"
"","","","","block","","block"
"","dolarparalelo.biz","DNS  block","DNS block","DNS","Accesible","DNS"
"","","","","block","","block"
"","dolarparalelo.net","DNS  block","DNS block","DNS","DNS block","DNS"
"","","","","block","","block"
"","dolarparalelo.org","DNS  block","DNS block","DNS ","DNS block","DNS "
"","","","","block","","block"
"","dolarparalelo.tk","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"","dolarparalelovenezuela.com","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"","dolartoday.org","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","dolartoday.info","DNS ","DNS ","DNS ","DNS ","Accesible"
"","","block","block","block","block"
"","dolartoday.org","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","dollarparalelovenezuela.com","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"","eldolarparalelo.info","DNS ","DNS ","DNS ","Accesible","Accesible"
"","","block","block","block"
"","lechugaverde.biz","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"","liberal-venezolano.blogspot.com","Accesible","Accesible","DNS ","DNS ","DNS "
"","","","","block","block","block"
"","liberal-venezolano.net","Accesible","Accesible","DNS ","Accesible","DNS "
"","","","","block","","block"
"","preciodolar.info","DNS ","DNS ","DNS ","Accesible","Accesible"
"","","block","block","block"
"","tucadivi.com","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"Medios","6topoder.com","DNS ","DNS ","DNS ","DNS ","Accesible"
"","","block","block","block","block"
"","analisis24.com","Accesible","Accesible","DNS ","DNS ","Accesible"
"","","","","block","block"
"","Infobae.com","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"","www.minuto30.com","DNS ","DNS ","DNS ","DNS ","Accesible"
"","","block","block","block","block"
"","www.noticias.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","ntn24.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","Ntn24web.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","www.webntn24.us","DNS ","DNS ","Accesible","DNS ","Accesible"
"","","block","block","","block"
"Blogs críticos","alekboyd.blogspot.co.uk","DNS ","DNS ","DNS ","Accesible","DNS "
"","","block","block","block","","block"
"","info-veraz.blogspot.com","DNS ","DNS ","Accesible","DNS ","Accesible"
"","","block","block","","block"
"","muerachavez.blogspot.com","Accesible","Accesible","Accesible","DNS ","Accesible"
"","","","","","block"
"","ovario2.com","DNS ","DNS ","Accesible","Accesible","DNS "
"","","block","block","","","block"
"","vdebate.blogspot.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"Apuestas ","elgrandatero.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","lahipodromodigital.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","tubululu.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"","tuhipismo.com","DNS ","DNS ","DNS ","DNS ","DNS "
"","","block","block","block","block","block"
"Colaboración","tiny.cc","Accesible","Accesible","DNS ","Accesible","Accesible"
"","","","","block"
"","pastebin.com","Accesible","Accesible","Accesible","Accesible","DNS "
"","","","","","","block"
"Comunicación","zello.com","DNS ","DNS ","DNS ","Accesible","Accesible"
"","","block","block","block"
"","content.zello.com","DNS ","DNS ","DNS ","Accesible","Accesible"
"","","block","block","block"
"Gore","quelacreo.com","DNS ","DNS ","DNS ","Accesible","Accesible"
"","","block","block","block"
"Circunvención","proxyanonimo.es","DNS ","DNS ","DNS ","DNS ","Accesible"
"","","block","block","block","block"
"Hosting","pastehtml.com","Accesible","Accesible","DNS ","Accesible","Accesible"
"","","","","block"
